ISO_country_numeric_code,Regional Economic Communities,Regional Economic Communities - Name
132,CEN-SAD,Community of Sahel–Saharan States
140,CEN-SAD,Community of Sahel–Saharan States
148,CEN-SAD,Community of Sahel–Saharan States
174,CEN-SAD,Community of Sahel–Saharan States
204,CEN-SAD,Community of Sahel–Saharan States
232,CEN-SAD,Community of Sahel–Saharan States
262,CEN-SAD,Community of Sahel–Saharan States
270,CEN-SAD,Community of Sahel–Saharan States
288,CEN-SAD,Community of Sahel–Saharan States
324,CEN-SAD,Community of Sahel–Saharan States
384,CEN-SAD,Community of Sahel–Saharan States
404,CEN-SAD,Community of Sahel–Saharan States
430,CEN-SAD,Community of Sahel–Saharan States
434,CEN-SAD,Community of Sahel–Saharan States
466,CEN-SAD,Community of Sahel–Saharan States
478,CEN-SAD,Community of Sahel–Saharan States
504,CEN-SAD,Community of Sahel–Saharan States
562,CEN-SAD,Community of Sahel–Saharan States
566,CEN-SAD,Community of Sahel–Saharan States
624,CEN-SAD,Community of Sahel–Saharan States
678,CEN-SAD,Community of Sahel–Saharan States
686,CEN-SAD,Community of Sahel–Saharan States
694,CEN-SAD,Community of Sahel–Saharan States
706,CEN-SAD,Community of Sahel–Saharan States
729,CEN-SAD,Community of Sahel–Saharan States
768,CEN-SAD,Community of Sahel–Saharan States
788,CEN-SAD,Community of Sahel–Saharan States
818,CEN-SAD,Community of Sahel–Saharan States
854,CEN-SAD,Community of Sahel–Saharan States
108,COMESA, Common Market for Eastern and Southern Africa
174,COMESA, Common Market for Eastern and Southern Africa
180,COMESA, Common Market for Eastern and Southern Africa
231,COMESA, Common Market for Eastern and Southern Africa
232,COMESA, Common Market for Eastern and Southern Africa
262,COMESA, Common Market for Eastern and Southern Africa
404,COMESA, Common Market for Eastern and Southern Africa
434,COMESA, Common Market for Eastern and Southern Africa
450,COMESA, Common Market for Eastern and Southern Africa
454,COMESA, Common Market for Eastern and Southern Africa
480,COMESA, Common Market for Eastern and Southern Africa
646,COMESA, Common Market for Eastern and Southern Africa
690,COMESA, Common Market for Eastern and Southern Africa
716,COMESA, Common Market for Eastern and Southern Africa
729,COMESA, Common Market for Eastern and Southern Africa
748,COMESA, Common Market for Eastern and Southern Africa
800,COMESA, Common Market for Eastern and Southern Africa
818,COMESA, Common Market for Eastern and Southern Africa
894,COMESA, Common Market for Eastern and Southern Africa
108,EAC,East African Community
404,EAC,East African Community
646,EAC,East African Community
800,EAC,East African Community
834,EAC,East African Community
24,ECCAS,Economic Community of Central African States
108,ECCAS,Economic Community of Central African States
120,ECCAS,Economic Community of Central African States
140,ECCAS,Economic Community of Central African States
148,ECCAS,Economic Community of Central African States
178,ECCAS,Economic Community of Central African States
180,ECCAS,Economic Community of Central African States
226,ECCAS,Economic Community of Central African States
266,ECCAS,Economic Community of Central African States
678,ECCAS,Economic Community of Central African States
132,ECOWAS,Economic Community of West African States
204,ECOWAS,Economic Community of West African States
270,ECOWAS,Economic Community of West African States
288,ECOWAS,Economic Community of West African States
324,ECOWAS,Economic Community of West African States
384,ECOWAS,Economic Community of West African States
430,ECOWAS,Economic Community of West African States
466,ECOWAS,Economic Community of West African States
562,ECOWAS,Economic Community of West African States
566,ECOWAS,Economic Community of West African States
624,ECOWAS,Economic Community of West African States
686,ECOWAS,Economic Community of West African States
694,ECOWAS,Economic Community of West African States
768,ECOWAS,Economic Community of West African States
854,ECOWAS,Economic Community of West African States
231,IGAD,Intergovernmental Authority on Development
232,IGAD,Intergovernmental Authority on Development
262,IGAD,Intergovernmental Authority on Development
404,IGAD,Intergovernmental Authority on Development
706,IGAD,Intergovernmental Authority on Development
728,IGAD,Intergovernmental Authority on Development
729,IGAD,Intergovernmental Authority on Development
800,IGAD,Intergovernmental Authority on Development
24,SADC,Southern African Development Community
72,SADC,Southern African Development Community
180,SADC,Southern African Development Community
426,SADC,Southern African Development Community
450,SADC,Southern African Development Community
454,SADC,Southern African Development Community
480,SADC,Southern African Development Community
508,SADC,Southern African Development Community
516,SADC,Southern African Development Community
690,SADC,Southern African Development Community
710,SADC,Southern African Development Community
716,SADC,Southern African Development Community
748,SADC,Southern African Development Community
834,SADC,Southern African Development Community
894,SADC,Southern African Development Community
12,UMA,Arab Maghreb Union
434,UMA,Arab Maghreb Union
478,UMA,Arab Maghreb Union
504,UMA,Arab Maghreb Union
788,UMA,Arab Maghreb Union
